#Table1
objid,u,g,r,i,z,redshift
1237646587175568426,22.22061,19.78261,18.3945,17.73774,17.15811,0.1206641
1237646587175568755,23.04652,21.15069,19.68755,18.93389,18.31089,0.3454711
1237646587175698603,22.48956,19.88562,17.9311,16.78775,15.98045,0.0001810035
1237646587175699158,24.99569,22.35487,20.15486,19.057,18.21775,0.0001765516
1237646587175764025,22.50948,19.98969,17.93554,16.73011,15.87877,0.0001199675
1237646587175960823,25.245,21.58285,19.56374,18.30131,17.34281,0.7411852
1237646587175960918,23.42741,21.93971,19.84808,18.6743,17.80898,0.7065571
1237646587176026552,24.48712,22.68098,20.41598,19.07099,18.11193,-0.00471335
1237646587176092415,23.68816,22.0488,20.28623,19.24136,18.36084,0.7364672
1237646587176092705,23.64798,20.89486,19.45195,18.54161,17.88617,0.1193381
1237646587176092804,22.93546,21.99896,20.63778,19.50391,18.9636,0.2174197
1237646587176093118,20.68452,19.11399,29.72628,17.03327,17.14878,0.2588234
1237646587176223361,22.60194,21.19356,20.05411,19.46768,19.11893,0.0001295762
1237646587176223740,24.27649,21.11861,19.6293,18.73325,18.0932,0.1500245
1237646587177140916,21.13619,19.22273,18.08179,17.50184,17.09354,0.552613
1237646587177599561,20.84674,19.07255,18.03511,17.53826,17.19738,0.5880927
1237646587177797676,25.17074,22.24876,20.42517,19.19505,18.42003,0
1237646587694612608,21.14136,19.32786,18.33477,17.83533,17.46506,0.1334663
1237646587694612678,20.44219,19.3609,18.37283,17.83961,17.52481,0.1811873
1237646587694613089,20.60803,19.51196,18.78702,18.42841,18.38127,0.1687725
1237646587698807248,25.22453,22.21052,20.40517,19.64608,19.1613,0.4139616
1237646587698872608,21.22966,19.23993,18.00378,17.44401,17.1568,0.2954184
1237646587698938097,21.62071,20.00359,19.07158,18.68014,18.37766,0.1300828
1237646587699134832,22.47534,20.82291,19.46522,18.92058,18.4691,0.2674835
1237646587699331397,22.20453,21.47315,20.31594,19.97563,19.34771,0.3563891
1237646587699331830,23.18983,23.87988,20.92018,20.10167,19.86771,0.5276468
1237646587699397011,20.39057,19.02732,18.19125,17.71696,17.51127,0.1689568
1237646587699397069,24.11062,22.43961,20.18361,19.40679,18.94861,0.3940807
1237646587699659090,23.69628,21.51569,19.75602,19.10203,18.59579,0.3097489
1237646587699921530,22.63209,20.3296,19.0881,18.51193,18.13868,0.1825923
1237646587709817452,21.43032,19.76425,18.58002,18.0033,17.60104,0.2199219
1237646587709817716,21.40663,19.46663,18.52785,17.93651,17.54223,0.08010395
1237646587709882563,21.32341,19.07353,18.17636,17.66821,17.01774,0.08767803
1237646587709883085,19.92504,17.8653,16.82966,16.32582,15.92543,0.08794557
1237646587709883614,20.73607,19.26333,18.39861,17.92963,17.78043,0.1839998
1237646587709883771,22.82499,21.87175,20.08639,19.31215,18.6167,0.5191099
